id,title,deadline,price,image_url,link_info,link_reg,category,keterangan,is_active
9,PELATIHAN SISTEM MANAJEMEN K3,2025-03-01,0,https://barium.dfxx.fun/storage/01JN1CGT08RKWHJW40Q09G39P4.jpg,https://www.instagram.com/p/DGfnEGzyKab/?igsh=MTNvcnh6bTVsY2tmMw==,,,,TRUE
13,PELATIHAN,2025-03-02,0,https://barium.dfxx.fun/storage/01JN1DGC4RMEQ73BXR9VFF2Z7R.jpg,https://www.instagram.com/share/p/BBFSKHmOF9,,,,TRUE
12,LOMBA ESAI INOVASI NUSANTARA,2025-03-05,40000,https://barium.dfxx.fun/storage/01JN1DF293C4W7SE1ZBRDP2R7F.jpg,https://www.instagram.com/share/p/BALkErA8Mu,,,,TRUE
19,NATIONAL PAPER COMPETITION,2025-03-05,180000,https://barium.dfxx.fun/storage/01JN1DYJ7FYH71CG6ANW83QWGM.jpg,https://www.instagram.com/share/p/BAFy2qkjRO,,,,TRUE
15,BUSINESS PLAN COM,2025-03-07,0,https://barium.dfxx.fun/storage/01JN1DMZZD5X1EPHQYNM3G0ND6.jpg,https://www.instagram.com/share/p/BBqg_LtBPT,,,,TRUE
11,SEMINAR NAONAL KARYA TULIS ILMIAH,2025-03-08,0,https://barium.dfxx.fun/storage/01JN1CRP9ETX3MGGKQQF36BQ95.jpg,https://www.instagram.com/p/DGUxtwTxfRj/?img_index=3&igsh=NGt1MmY2bHZ6ZDlj,,,,TRUE
10,SEMINAR NASIONAL KEPENULISAN DAN PUBLIKASI ILMIAH,2025-03-09,0,https://barium.dfxx.fun/storage/01JN1CK7DXE9T9M2A630ASQMES.jpg,https://www.instagram.com/p/DGUxtwTxfRj/?img_index=3&igsh=NGt1MmY2bHZ6ZDlj,,,,TRUE
22,REVEWABLE ENERGY INNOVATION FESTIVAL 2025,2025-03-11,80000,https://barium.dfxx.fun/storage/01JN1E5CVMMK5900VBJX64G7N3.jpg,https://www.instagram.com/share/p/BABaUtQRve,,,,TRUE
14,ESSAY COMPETITION,2025-03-14,25000,https://barium.dfxx.fun/storage/01JN1DJHCPK253AKH6A5TFYSKK.jpg,https://www.instagram.com/share/p/BBPpD3KgdI,,,,TRUE
8,SEMINAR NASIONAL PUBLIKASI JURNAL ILMIAH,2025-03-15,0,https://barium.dfxx.fun/storage/01JN1CDRBZCM9G45RMTF3VM2K1.jpg,https://www.instagram.com/p/DGUxtwTxfRj/?img_index=3&igsh=NGt1MmY2bHZ6ZDlj,,,,TRUE
30,TRAINING K3,2025-03-16,35000,https://barium.dfxx.fun/storage/01JPAZHYNH5YTJQ112W2JQEMXR.jpg,https://www.instagram.com/share/p/_cdJiFQhS,,,,TRUE
31,NATIONAL ESSAY COMETITION,2025-03-16,40000,https://barium.dfxx.fun/storage/01JPAZN2J5CVSGQ9MRBSNXE3C7.jpg,https://www.instagram.com/share/p/BAR5Fit1K0,,,,TRUE
17,LOMBA PAPER,2025-03-18,35000,https://barium.dfxx.fun/storage/01JN1DT67191AZ8GKDDGKRBKKV.jpg,https://www.instagram.com/share/p/BAOtsVz2bB,,,,TRUE
24,SASECOM SMART SAFETY COMPETITION,2025-03-18,50000,https://barium.dfxx.fun/storage/01JN1EAEFQAYTSCJHFCZ5J4G9S.jpg,https://www.instagram.com/share/p/BAFy2qkjRO,,,,TRUE
25,RECURSION 1.0,2025-03-18,90000,https://barium.dfxx.fun/storage/01JN1ED1R4XHJ0PBMX36PRMG2G.jpg,https://www.instagram.com/share/p/BAKsQrHYIC,,,,TRUE
26,EXCESS 2025 (INTERNATIONAL ESSAY COMPETITION),2025-03-18,0,https://barium.dfxx.fun/storage/01JN1EFZGW2XB5NHBFZVE5QSC4.jpg,https://www.instagram.com/share/p/_mkSa9xmU,,,,TRUE
27,INCOSHET 2025,2025-03-18,50000,https://barium.dfxx.fun/storage/01JPAZ8QSH86JQFC929Y3K6945.jpg,https://www.instagram.com/share/p/_qLpKBHvQ,,,,TRUE
33,BUSINESS CASE COMPETITION,2025-03-18,270000,https://barium.dfxx.fun/storage/01JPAZVB0CJG4MSCH3YRYRNFM1.jpg,https://www.instagram.com/share/p/_oVf-c9CJ,,,,TRUE
21,RESPECTIVE FEST 2025,2025-03-20,55000,https://barium.dfxx.fun/storage/01JN1E1NSJ53YQV2VZAZK4MPGS.jpg,https://www.instagram.com/share/p/BAX88uYKkU,,,,TRUE
32,LOMBA POSTER,2025-03-20,75000,https://barium.dfxx.fun/storage/01JPAZRBM38PYMM2M97EZGX521.jpg,https://www.instagram.com/share/p/_8iTBMX6K,,,,TRUE
35,RENEWABLE ENERGY INOVATION IDEA 2025,2025-03-24,110000,https://barium.dfxx.fun/storage/01JPBNDFE63VCCY59E55639ZZX.jpg,https://www.instagram.com/share/p/_ZYaoPiq_,,,,TRUE
23,CALL FOR ABSTRACT,2025-03-25,0,https://barium.dfxx.fun/storage/01JN1E7EDQ45TTDKAB2C0TR478.jpg,https://www.instagram.com/share/p/BAMTg91WX2,,,,TRUE
18,LOMBA ESAI NASIONAL,2025-03-28,0,https://barium.dfxx.fun/storage/01JN1DWRFDG2BM1ZHXE8ATTBPS.jpg,https://www.instagram.com/share/p/BAQl8Wk2eC,,,,TRUE
16,LOMBA ESSAY ILMIAH DAN POSTER PUBLIK,2025-03-30,45000,https://barium.dfxx.fun/storage/01JN1DPRYR9P5D611G0Q01E05J.jpg,https://www.instagram.com/share/p/BAR1aVoFyT,,,,TRUE
29,DEMAND '' ESAI ILMIAH',2025-03-30,60000,https://barium.dfxx.fun/storage/01JPAZG3HD1E3ZSYCA0CTG60GF.jpg,https://www.instagram.com/share/p/BAFh8QGcQF,,,,TRUE
28,KPM COMPETITION 2025,2025-03-31,65000,https://barium.dfxx.fun/storage/01JPAZC2XV2A76HV43ZN9RRX5M.jpg,https://www.instagram.com/share/p/_lK88YtcN,,,,TRUE
41,LOMBA ESAI ( PERAN MATEMATIKA DALAM ERA MODERN ),2025-04-02,20000,https://barium.dfxx.fun/storage/01JQE8Y717D5E3F6BSKKFNAQE4.png,https://www.instagram.com/p/DHnIqafpSOl/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,TRUE
44,EBX 2025,2025-04-03,70000,https://barium.dfxx.fun/storage/01JQE9JNR4MCK69NQD1EEM3E3Y.png,https://www.instagram.com/p/DHunGAevVep/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,TRUE
37,LOMBA KARYA TULIS ILMIAH ANTAR MAHASISWA TINGKAT NASIONAL,2025-04-05,100000,https://barium.dfxx.fun/storage/01JQE8CN60Z6FDB7DEJ0NNH86T.png,https://www.instagram.com/p/DHs5nYipwRX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,TRUE
39,PILNAS 3 LOMBA ESAI,2025-04-05,45000,https://barium.dfxx.fun/storage/01JQE8P1CE437SW1R5D20X2G9G.png,https://www.instagram.com/p/DHnxl26pY1a/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,TRUE
56,IREX,2025-04-05,20000,https://barium.dfxx.fun/storage/01JQZ968GMXKFRYXMFVP1H5EVE.png,https://www.instagram.com/p/DH8Z4hxzDI-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,TRUE
52,LOMBA ESSAI NASIONAL,2025-04-09,60000,https://barium.dfxx.fun/storage/01JQZ3SD6VA92R2CA4R2PN829V.png,https://www.instagram.com/p/DHj8wJDzdr4/?utm_source=ig_web_copy_link,,,,TRUE
36,Event Menulis Gratis 2025 Nasional,2025-04-10,0,https://barium.dfxx.fun/storage/01JQE87YX9DQX5T8Z1RX0RZ5B0.png,https://www.instagram.com/p/DHtg_oIzksK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,TRUE
55,CREATION,2025-04-10,30000,https://barium.dfxx.fun/storage/01JQZ7CRRBNR8YMHS90VKX4NNT.png,https://www.instagram.com/p/DHiiTtpx4Ni/?utm_source=ig_web_copy_link,,,,TRUE
43,NATIONAL BUSINESS PLAN COMPETITION,2025-04-11,0,https://barium.dfxx.fun/storage/01JQE9EGX9S8GR989H0BBSMSW4.png,https://www.instagram.com/p/DHvcWYfPe8P/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,TRUE
46,TROFIC 2025 ( ESAI DAN POSTER ),2025-04-11,20000,https://barium.dfxx.fun/storage/01JQJ6YA1YXT7FSGW5KYP1ZXD1.png,https://www.instagram.com/p/DHu3l85zTPt/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,TRUE
49,E-nec 2025 ( EDUSMART NATIONAL ESSAY COMPETITION ),2025-04-11,30000,https://barium.dfxx.fun/storage/01JQJ7K4VJH8V7347MRX1HEFZ4.png,https://www.instagram.com/p/DHptvYmTRM8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,TRUE
53,BUSINESS MODEL CANVAS COMPETITION,2025-04-12,40000,https://barium.dfxx.fun/storage/01JQZ6ZD2RRD5T11P96NTFMX7A.png,https://www.instagram.com/p/DH7e0tlzxZU/?utm_source=ig_web_copy_link,,,,TRUE
54,KOMPETISI JURNALISTIK,2025-04-13,0,https://barium.dfxx.fun/storage/01JQZ763621MAJ99RD894DP4X0.png,https://www.instagram.com/p/DHzd9cvyCs8/?utm_source=ig_web_copy_link,,,,TRUE
60,PRISMA LOMBA KARYA TULIS ILMIAH NASIONAL,2025-04-14,140000,https://barium.dfxx.fun/storage/01JRW6AKYG24PMXT7WCGGA2J07.png,https://www.instagram.com/p/DIOSo-nJ16F/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,TRUE
